"No.","Time","Source","Destination","Protocol","Length","Channel frequency","Data rate (Mb/s)","Channel","Channel","Transmitter address","Destination address","Type/Subtype","Info"
"3415","4.721476","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3417","4.723211","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3418","4.723715","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3419","4.724211","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3420","4.724796","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3421","4.725374","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3422","4.725990","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3423","4.726507","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3424","4.727061","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3425","4.727615","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","59","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Authentication","Authentication, SN=1391, FN=0, Flags=....R...C"
"3669","5.330166","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=526, FN=0, Flags=........C"
"3673","5.335201","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=526, FN=0, Flags=....R...C"
"3714","5.394854","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=526, FN=0, Flags=....R...C"
"3715","5.395776","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=526, FN=0, Flags=....R...C"
"3733","5.416446","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=526, FN=0, Flags=....R...C"
"3811","5.495406","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=526, FN=0, Flags=....R...C"
"3826","5.510177","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=526, FN=0, Flags=....R...C"
